Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Amos|a Hebrew shepherd and minor prophet
Amundsen|Norwegian explorer who was the first to traverse the Northwest Passage and in 1911 the first to reach the South Pole (1872-1928)
Anaxagoras|a presocratic Athenian philosopher who maintained that everything is composed of very small particles that were arranged by some eternal intelligence (500-428 BC)
Anaximander|a presocratic Greek philosopher and student of Thales who believed the universal substance to be infinity rather than something resembling ordinary objects (611-547 BC)
Anaximenes|a presocratic Greek philosopher and associate of Anaximander who believed that all things are made of air in different degrees of density (6th century BC)
Andersen|a Danish author remembered for his fairy stories (1805-1875)
Anderson|United States physicist who discovered antimatter in the form of an antielectron that is called the positron (1905-1991)
Anderson|United States contralto noted for her performance of spirituals (1902-1993)
Anderson|United States dramatist (1888-1959)
Anderson|United States physicist who studied the electronic structure of magnetic and disordered systems (1923-)
Anderson|United States author whose works were frequently autobiographical (1876-1941)
Andrew|(New Testament) disciple of Jesus; brother of Peter; patron saint of Scotland
Andrews|United States naturalist who contributed to paleontology and geology (1884-1960)
Anne|Queen of England and Scotland and Ireland; daughter if James II and the last of the Stuart monarchs; in 1707 she was the last English ruler to exercise the royal veto over parliament (1665-1714)
Anouilh|French dramatist noted for his reinterpretations of Greek myths (1910-1987)
Anselm|an Italian who was a Benedictine monk; was archbishop of Canterbury from 1093 to 1109; one of the founders of scholasticism; best known for his proof of the existence of God
Anthony|United States suffragist (1820-1906)
Antichrist|(Christianity) the adversary of Christ (or Christianity) mentioned in the New Testament; the Antichrist will rule the world until overthrown by the Second Coming of Christ
Antigonus|a general of Alexander the Great and king of Macedonia; lost one eye; killed in a battle at Ipsus (382-301 BC)
Antoninus|Emperor of Rome; nephew and son-in-law and adoptive son of Antonius Pius; Stoic philosopher; the decline of the Roman Empire began under Marcus Aurelius (121-180)
Antonius Pius|Emperor of Rome; adoptive son of Hadrian (86-161)
Antony|Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC)
Apollinaire|French poet; precursor of surrealism (1880-1918)
Appleton|English physicist remembered for his studies of the ionosphere (1892-1966)
Aquinas|(Roman Catholic Church) Italian theologian and Doctor of the Church who is remembered for his attempt to reconcile faith and reason in a comprehensive theology; presented philosophical proofs of the existence of God (1225-1274)
Arafat|Palestinian statesman who was chairman of the Palestine Liberation Organization (1929-2004)
Aragon|French writer who generalized surrealism to literature (1897-1982)
Archimedes|Greek mathematician and physicist noted for his work in hydrostatics and mechanics and geometry (287-212 BC)
Arendt|United States historian and political philosopher (born in Germany) (1906-1975)
Aristarchus|an ancient Greek grammarian remembered for his commentary on the Iliad and Odyssey (circa 217-145 BC)
Aristarchus of Samos|an ancient Greek astronomer who was one of the first to propose a heliocentric theory of the universe (circa 270 BC)
Aristophanes|an ancient Greek dramatist remembered for his comedies (448-380 BC)
Aristotle|one of the greatest of the ancient Athenian philosophers; pupil of Plato; teacher of Alexander the Great (384-322 BC)
Arius|a Greek who was a Christian theologian active in Alexandria and who was declared a heretic for his doctrines about God (which came to be known as Arianism) (256?-336)
Arminius|German hero; leader at the battle of Teutoburger Wald in AD 9 (circa 18 BC - AD 19)
Arminius|Dutch Protestant theologian who founded Arminianism which opposed the absolute predestinarianism of John Calvin (1559-1609)
Armstrong|United States pioneering jazz trumpeter and bandleader (1900-1971)
Armstrong|United States astronaut; the first man to set foot on the Moon (July 20, 1969) (1930-)
Arnold|United States general and traitor in the American Revolution; in 1780 his plan to surrender West Point to the British was foiled (1741-1801)
Arnold|English poet and literary critic (1822-1888)
Arnold of Brescia|Italian theologian who censured the worldly possessions of monks and the temporal power of bishops and was condemned for dogmatic errors by the Second Lateran Council (early 12th century)
Arp|Alsatian artist and poet who was cofounder of dadaism in Zurich; noted for abstract organic sculptures (1887-1966)
Arrhenius|Swedish chemist and physicist noted for his theory of chemical dissociation (1859-1927)
Artaxerxes I|king of Persia who sanctioned the practice of Judaism in Jerusalem (?-424 BC)
Artaxerxes II|king of Persia who subdued numerous revolutions and made peace with Sparta (?-359 BC)
Arthur|a legendary king of the Britons (possibly based on a historical figure in the 6th century but the story has been retold too many times to be sure); said to have led the Knights of the Round Table at Camelot
Arthur|elected vice president and became 21st President of the United States when Garfield was assassinated (1830-1886)
Asanga|Indian religious leader and founder of the Yogacara school of Buddhism in India (4th century)
Asch|United States writer (born in Poland) who wrote in Yiddish (1880-1957)
Ashe|United States tennis player who was the first Black to win United States and English singles championships (1943-1993)
Ashton|British choreographer (1906-1988)
Ashurbanipal|king of Assyria who built a magnificent palace and library at Nineveh (668-627 BC)
Asimov|United States writer (born in Russia) noted for his science fiction (1920-1992)
Astaire|United States dancer and cinema actor noted for his original and graceful tap dancing (1899-1987)
Astor|United States capitalist (born in Germany) who made a fortune in fur trading (1763-1848)
Astor|British politician (born in the United States) who was the first woman to sit in the British House of Commons (1879-1964)
Ataturk|Turkish statesman who abolished the caliphate and founded Turkey as a modern secular state (1881-1938)
Athanasius|(Roman Catholic Church) Greek patriarch of Alexandria who championed Christian orthodoxy against Arianism; a church father, saint, and Doctor of the Church (293-373)
Athelstan|the first Saxon ruler who extended his kingdom to include nearly all of England (895-939)
Attila|king of the Huns; the most successful barbarian invader of the Roman Empire (406-453)
Attlee|British statesman and leader of the Labour Party who instituted the welfare state in Britain (1883-1967)
Auchincloss|United States writer (born in 1917)
Auden|United States poet (born in England) (1907-1973)
Audubon|United States ornithologist and artist (born in Haiti) noted for his paintings of birds of America (1785-1851)
Augustine|(Roman Catholic Church) one of the great Fathers of the early Christian church; after a dramatic conversion to Christianity he became bishop of Hippo Regius in North Africa; St. Augustine emphasized man's need for grace (354-430)
Augustus|Roman statesman who established the Roman Empire and became emperor in 27 BC; defeated Mark Antony and Cleopatra in 31 BC at Actium (63 BC - AD 14)
Austen|English novelist noted for her insightful portrayals of middle-class families (1775-1817)
Averroes|Arabian philosopher born in Spain; wrote detailed commentaries on Aristotle that were admired by the Schoolmen (1126-1198)
Avicenna|Persian physician and influential philosopher; his interpretation of Aristotle influenced St. Thomas Aquinas; writings on medicine were important for almost 500 years (980-1037)
Avogadro|Italian physicist noted for his work on gases; proposed what has come to be called Avogadro's law (1776-1856)
Bach|German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)
Bacon|English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)
Bacon|English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
Baedeker|German publisher of a series of travel guidebooks (1801-1859)
Bailey|English lexicographer who was the first to treat etymology consistently; his work was used as a reference by Samuel Johnson (died in 1742)
Bailey|United States singer (1918-1990)
Bakunin|Russian anarchist; ally and later opponent of Karl Marx (1814-1876)
Balanchine|United States dancer and choreographer (born in Russia) noted for his abstract and formal works (1904-1983)
Balboa|Spanish explorer who in 1513 crossed the Isthmus of Darien and became the first European to see the eastern shores of the Pacific Ocean (1475-1519)
Baldwin|English statesman; member of the Conservative Party (1867-1947)
Baldwin|United States author who was an outspoken critic of racism (1924-1987)
Balenciaga|Spanish fashion designer known for his stark elegant designs (1895-1972)
Balfour|English statesman; member of the Conservative Party (1848-1930)
Ball|United States comedienne best known as the star of a popular television program (1911-1989)
Balthazar|(New Testament) one of the three sages from the east who came bearing gifts for the infant Jesus
Balzac|French novelist; he portrays the complexity of 19th century French society (1799-1850)
Bankhead|uninhibited United States actress (1903-1968)
Banks|English botanist who accompanied Captain Cook on his first voyage to the Pacific Ocean (1743-1820)
Bannister|English runner who in 1954 became the first person to run a mile in less than four minutes (born in 1929)
Banting|Canadian physiologist who discovered insulin with C. H. Best and who used it to treat diabetes(1891-1941)
Baraka|United States writer of poems and plays about racial conflict (born in 1934)
Barany|Austrian physician who developed a rotational method for testing the middle ear (1876-1936)
Barbarossa|Barbary pirate (died in 1546)
Barber|United States composer (1910-1981)
Bardeen|United States physicist who won the Nobel prize for physics twice (1908-1991)
Barkley|United States politician and lawyer; vice president of the United States (1877-1956)
Barnum|United States showman who popularized the circus (1810-1891)
Barrie|Scottish dramatist and novelist; created Peter Pan (1860-1937)
Barrymore|United States actor; husband of Georgiana Emma Barrymore and father of Ethel Barrymore and John Barrymore and Lionel Barrymore (1847-1905)
Barrymore|United States actress; daughter of John Drew and wife of Maurice Barrymore; mother of Ethel Barrymore and John Barrymore and Lionel Barrymore (1854-1893)
Barrymore|United States actor; son of Maurice Barrymore and Georgiana Barrymore (1878-1954)
Barrymore|United States actress; daughter of Maurice Barrymore and Georgiana Barrymore (1879-1959)
Barrymore|United States actor; son of Maurice Barrymore and Georgiana Barrymore (1882-1942)
Barth|United States novelist (born in 1930)
Barth|Swiss Protestant theologian (1886-1968)
Barthelme|United States author of sometimes surrealistic stories (1931-1989)
Bartholdi|French sculptor best known for creating the Statue of Liberty now in New York harbor
Bartholin|Danish physician who discovered Bartholin's gland (1585-1629)
Bartlett|United States publisher and editor who compiled a book of familiar quotations (1820-1905)
Bartlett|United States explorer who accompanied Peary's expedition to the North Pole and who led many other Arctic trips (1875-1946)
Bartok|Hungarian composer and pianist who collected Hungarian folk music; in 1940 he moved to the United States (1881-1945)
Baruch|a disciple of and secretary for the prophet Jeremiah
Baruch|economic advisor to United States Presidents (1870-1965)
Baryshnikov|Russian dancer and choreographer who migrated to the United States (born in 1948)
Basil|(Roman Catholic Church) the bishop of Caesarea who defended the Roman Catholic Church against the heresies of the 4th century; a saint and Doctor of the Church (329-379)
Bathsheba|(Old Testament) the wife of Uriah and later the wife of king David; Solomon was her son by David (circa 10th century BC)
Baudelaire|a French poet noted for macabre imagery and evocative language (1821-1867)
Baum|United States writer of children's books (1856-1919)
Bayard|French soldier said to be fearless and chivalrous (1473-1524)
Bayes|English mathematician for whom Bayes' theorem is named (1702-1761)
Beadle|United States biologist who discovered how hereditary characteristics are transmitted by genes (1903-1989)
Beaumont|English dramatist who collaborated with John Fletcher (1584-1616)
Beaumont|United States surgeon remembered for his studies of digestion (1785-1853)
Beauvoir|French feminist and existentialist and novelist (1908-1986)
Beaverbrook|British newspaper publisher and politician (born in Canada); confidant of Winston Churchill (1879-1964)
Becket|(Roman Catholic Church) archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170)
Beckett|a playwright and novelist (born in Ireland) who lived in France; wrote plays for the theater of the absurd (1906-1989)
Becquerel|French physicist who discovered that rays emitted by uranium salts affect photographic plates (1852-1908)
Bede|(Roman Catholic Church) English monk and scholar (672-735)
Beecher|United States clergyman who was a leader for the abolition of slavery (1813-1887)
Beerbohm|English writer and caricaturist (1872-1956)
Beethoven|German composer of instrumental music (especially symphonic and chamber music); continued to compose after he lost his hearing (1770-1827)
Begin|Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
Behrens|German architect known for his simple utilitarian factory buildings (1868-1940)
Belisarius|Byzantine general under Justinian I; he recovered former Roman territories in northern Africa and fought against the Persians
Bell|United States inventor (born in Scotland) of the telephone (1847-1922)
Bell|English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961)
Bell|a phonetician and father of Alexander Graham Bell (1819-1905)
Bellarmine|Italian cardinal and theologian (1542-1621)
Bellini|Italian composer of operas (1801-1835)
Belloc|English author (born in France) remembered especially for his verse for children (1870-1953)
Bellow|United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005)
Belshazzar|(Old Testament) Babylonian general and son of Nebuchadnezzar II; according to the Old Testament he was warned of his doom by divine handwriting on the wall that was interpreted by Daniel (6th century BC)
Benchley|United States humorist (1889-1945)
Benedict|Italian monk who founded the Benedictine order about 540 (480-547)
Benedict XIV|pope who was a patron of the arts and who denounced the cruelty to the indigenous peoples of South America (1675-1758)
Benedict XV|pope who founded the Vatican service for prisoners of war during World War I (1854-1922)
Benedict|United States anthropologist (1887-1948)
Benet|United States writer; brother of Stephen Vincent Benet (1886-1950)
Benet|United States poet; brother of William Rose Benet (1898-1943)
Ben Gurion|Israeli statesman (born in Poland) and active Zionist who organized resistance against the British after World War II; prime minister of Israel (1886-1973)
Benjamin|(Old Testament) the youngest and best-loved son of Jacob and Rachel and one of the twelve forebears of the tribes of Israel
Bennett|United States aviator who (with Richard E. Byrd) piloted the first flight over the North Pole (1890-1928)
Benny|United States comedian known for his timeing and delivery and self-effacing humor (1894-1974)
Bentham|English philosopher and jurist; founder of utilitarianism (1748-1831)
Benton|United States legislator who opposed the use of paper currency (1782-1858)
Benton|United States artist whose paintings portrayed life in the Midwest and South (1889-1975)
Berg|Austrian composer in Schoenberg's twelve-tone music system (1885-1935)
Bergman|Swedish film director who used heavy symbolism and explored the psychology of the characters (born 1918)
Bergman|Swedish film actress (1915-1982)
Bergson|French philosopher who proposed elan vital as the cause of evolution and development (1859-1941)
Beria|Soviet chief of secret police under Joseph Stalin; was executed by his associates in the power struggle following Stalin's death (1899-1953)
Bering|Danish explorer who explored the northern Pacific Ocean for the Russians and discovered the Bering Strait (1681-1741)
Berkeley|Irish philosopher and Anglican bishop who opposed the materialism of Thomas Hobbes (1685-1753)
Berlage|Dutch architect and town planner (1856-1934)
Berlin|United States songwriter (born in Russia) who wrote more than 1500 songs and several musical comedies (1888-1989)
Berlioz|French composer of romantic works (1803-1869)
Bernard|French physiologist noted for research on secretions of the alimentary canal and the glycogenic function of the liver (1813-1878)
Bernhardt|French actress (1844-1923)
Bernini|Italian sculptor and architect of the baroque period in Italy; designed many churches and chapels and tombs and fountains (1598-1680)
Bernoulli|Swiss mathematician (1654-1705)
Bernoulli|Swiss mathematician (1667-1748)
Bernoulli|Swiss physicist who contributed to hydrodynamics and mathematical physics (1700-1782)
Bernstein|United States conductor and composer (1918-1990)
Berra|United States baseball player (born 1925)
Berry|United States rock singer (born in 1931)
Bertillon|French criminologist (1853-1914)
Bertolucci|Italian filmmaker (born in 1940)
Berzelius|Swedish chemist who discovered three new elements and determined the atomic weights of many others (1779-1848)
Bessel|German mathematician and astronomer who made accurate measurements of stellar distances and who predicted the existence on an 8th planet (1784-1846)
Bessemer|British inventor and metallurgist who developed the Bessemer process (1813-1898)
Best|Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978)
Bethe|United States physicist (born in Germany) noted for research in astrophysics and nuclear physics (1906-2005)
Bethune|United States educator who worked to improve race relations and educational opportunities for Black Americans (1875-1955)
Beveridge|British economist (born in India) whose report on social insurance provided the basis for most of the social legislation on which the welfare state in the United Kingdom is based (1879-1963)
Bevin|British labor leader and statesman who played an important role in diplomacy after World War II (1884-1951)
Bierce|United States writer of caustic wit (1842-1914)
Binet|French psychologist remembered for his studies of the intellectual development of children (1857-1911)
Bismarck|German statesman under whose leadership Germany was united (1815-1898)
Bizet|French composer best known for his operas (1838-1875)
Black|popular child actress of the 1930's (born in 1928)
Black|British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
Black Hawk|Sauk leader who in 1832 led Fox and Sauk warriors against the United States (1767-1838)
Blair|British statesman who became prime minister in 1997 (born in 1953)
Blake|visionary British poet and painter (1757-1827)
Bleriot|French aviator who in 1909 made the first flight across the English Channel (1872-1936)
Bligh|British admiral; was captain of the H.M.S. Bounty in 1789 when part of the crew mutinied and set him afloat in an open boat; a few weeks later he arrived safely in Timor 4,000 miles away (1754-1817)
Blitzstein|United States pianist and composer of operas and musical plays (1905-1964)
Bloch|United States composer (born in Switzerland) who composed symphonies and chamber music and choral music and a piano sonata and an opera (1880-1959)
Blok|Russian poet (1880-1921)
Bloomfield|United States linguist who adopted a behavioristic approach to linguistics (1887-1949)
Blucher|Prussian general who is remembered for his leadership in the wars against Napoleon (1742-1819)
Boccaccio|Italian poet (born in France) (1313-1375)
Bodoni|Italian printer who designed the Bodoni font (1740-1813)
Boehme|German mystic and theosophist who founded modern theosophy; influenced George Fox (1575-1624)
Boell|German novelist and writer of short stories (1917-1985)
Boethius|a Roman who was an early Christian philosopher and statesman who was executed for treason; Boethius had a decisive influence on medieval logic (circa 480-524)
Bogart|United States film actor (1899-1957)
Bohr|Danish physicist who studied atomic structure and radiations; the Bohr theory of the atom accounted for the spectrum of hydrogen (1885-1962)
Boleyn|the second wife of Henry VIII and mother of Elizabeth I; was executed on a charge of adultery (1507-1536)
Bolivar|Venezuelan statesman who led the revolt of South American colonies against Spanish rule; founded Bolivia in 1825 (1783-1830)
Boltzmann|Austrian physicist who contributed to the kinetic theory of gases (1844-1906)
Bond|United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
Bonhoeffer|German Lutheran theologian and pastor whose works concern Christianity in the modern world; an active opponent of Nazism, he was arrested and sent to Buchenwald and later executed (1906-1945)
Boniface|(Roman Catholic Church) Anglo-Saxon missionary who was sent to Frisia and Germany to spread the Christian faith; was martyred in Frisia (680-754)
Boniface VIII|pope who declared that Catholic princes are subject to the pope in temporal as well as in theological matters (1235-1303)
Bonney|United States outlaw who was said to have killed 21 men (1859-1881)
Bontemps|United States writer (1902-1973)
Boole|English mathematician; creator of Boolean algebra (1815-1864)
Boone|an American pioneer and guide and explorer (1734-1820)
Booth|United States actor and assassin of President Lincoln (1838-1865)
Borges|Argentinian writer remembered for his short stories (1899-1986)
Borgia|Italian cardinal and military leader; model for Machiavelli's prince (1475-1507)
Borgia|Italian noblewoman and patron of the arts (1480-1519)
Born|British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
Borodin|Russian composer (1833-1887)
Bosch|Dutch painter (1450-1516)
Bose|Indian physicist who with Albert Einstein proposed statistical laws based on the indistinguishability of particles; led to the description of fundamental particles that later came to be known as bosons
Boswell|Scottish author noted for his biography of Samuel Johnson (1740-1795)
Botticelli|Italian painter of mythological and religious paintings (1444-1510)
Bougainville|French explorer who circumnavigated the globe accompanied by scientists (1729-1811)
Boulez|French composer of serial music (born in 1925)
Bowditch|United States mathematician and astronomer noted for his works on navigation (1773-1838)
Bowdler|English editor who in 1818 published an expurgated edition of the works of Shakespeare (1754-1825)
Bowie|United States pioneer and hero of the Texas revolt against Mexico; he shared command of the garrison that resisted the Mexican attack on the Alamo where he died (1796-1836)
Boyle|Irish chemist who established that air has weight and whose definitions of chemical elements and chemical reactions helped to dissociate chemistry from alchemy (1627-1691)
Boyle|United States writer (1902-1992)
Bradbury|United States writer of science fiction (born 1920)
Bradford|United States printer (born in England) whose press produced the first American prayer book and the New York City's first newspaper (1663-1752)
Bradley|United States general who played an important role in the Allied victory in World War II (1893-1981)
Bradley|United States politician who was elected the first black mayor of Los Angeles (1917-1998)
Bradstreet|poet in colonial America (born in England) (1612-1672)
Brady|United States financier noted for his love of diamonds and his extravagant lifestyle (1856-1917)
Brady|United States pioneer photographer famous for his portraits; was the official Union photographer for the American Civil War (1823-1896)
Bragg|Confederate general during the American Civil War who was defeated by Grant in the battle of Chattanooga (1817-1876)
Brahe|Danish astronomer whose observations of the planets provided the basis for Kepler's laws of planetary motion (1546-1601)
Brahms|German composer who developed the romantic style of both lyrical and classical music (1833-1897)
Braille|French educator who lost his sight at the age of three and who invented a system of writing and printing for sightless people (1809-1852)
Bramante|great Italian architect of the High Renaissance in Italy (1444-1514)
Brancusi|Romanian sculptor noted for abstractions of animal forms (1876-1957)
Brandt|German statesman who as chancellor of West Germany worked to reduce tensions with eastern Europe (1913-1992)
Braque|French painter who led the cubist movement (1882-1963)
Braun|United States rocket engineer (born in Germany where he designed a missile used against England); he led the United States Army team that put the first American satellite into space (1912-1977)
Braun|the German mistress of Adolf Hitler (1910-1945)
Brecht|German dramatist and poet who developed a style of epic theater (1898-1956)
Breuer|United States architect (born in Hungary) who was associated with the Bauhaus in the 1920's (1902-1981)
Brezhnev|Soviet statesman who became president of the Soviet Union (1906-1982)
Bridges|United States labor leader who organized the longshoremen (1901-1990)
Bridget|Irish abbess; a patron saint of Ireland (453-523)
Brinton|United States anthropologist who was the first to attempt a systematic classification of Native American languages (1837-1899)
Britten|major English composer of the 20th century; noted for his operas (1913-1976)
Broca|French anthropologist who studied the craniums and brains of different people; remembered for his discovery that articulate speech depends on an area of the brain now known as Broca's area (1824-1880)
Brockhouse|Canadian physicist who bounced neutron beams off of atomic nuclei to study the structure of matter (1918-2003)
Broglie|French nuclear physicist who generalized the wave-particle duality by proposing that particles of matter exhibit wavelike properties (1892-1987)
Bronte|English novelist; oldest of three Bronte sisters (1816-1855)
Bronte|English novelist; one of three Bronte sisters (1818-1848)
Bronte|English novelist; youngest of three Bronte sisters (1820-1849)
Brooke|English lyric poet (1887-1915)
Brooks|United States literary critic and historian (1886-1963)
Brown|abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)
Brown|Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)
Browne|United States writer of humorous tales of an itinerant showman (1834-1867)
Browne|English illustrator of several of Dickens' novels (1815-1882)
Browning|English poet best remembered for love sonnets written to her husband Robert Browning (1806-1861)
Browning|English poet and husband of Elizabeth Barrett Browning noted for his dramatic monologues (1812-1889)
Browning|United States inventor of firearms (especially automatic pistols and repeating rifles and a machine gun called the Peacemaker) (1855-1926)
Bruce|king of Scotland from 1306 to 1329; defeated the English army under Edward II at Bannockburn and gained recognition of Scottish independence (1274-1329)
Bruce|Australian physician and bacteriologist who described the bacterium that causes undulant fever or brucellosis (1855-1931)
Bruch|German composer (1838-1920)
Bruckner|Austrian organist and composer of romantic music (1824-1896)
Brueghel|Flemish painter of landscapes (1525-1569)
Brummell|English dandy who was a fashion leader during the Regency (1778-1840)
Brunelleschi|Florentine architect who was the first great architect of the Italian Renaissance (1377-1446)
Bruno|Italian philosopher who used Copernican principles to develop a pantheistic monistic philosophy; condemned for heresy by the Inquisition and burned at the stake (1548-1600)
Bruno|(Roman Catholic Church) a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032-1101)
Brutus|statesman of ancient Rome who (with Cassius) led a conspiracy to assassinate Julius Caesar (85-42 BC)
Bryan|United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925)
Buber|Israeli religious philosopher (born in Austria); as a Zionist he promoted understanding between Jews and Arabs; his writings affected Christian thinkers as well as Jews (1878-1965)
Buchanan|15th President of the United States (1791-1868)
Buchner|German organic chemist who studied alcoholic fermentation and discovered zymase (1860-1917)
Buck|United States author whose novels drew on her experiences as a missionary in China (1892-1973)
Budge|United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
Bukharin|Bolshevik leader in Russia who advocated gradual collectivism of the farms; was executed in a purge by Stalin (1888-1938)
Bullfinch|United States architect who designed the Capitol Building in Washington which served as a model for state capitols throughout the United States (1763-1844)
Bultmann|a Lutheran theologian in Germany (1884-1976)
Bunche|United States diplomat and United Nations official (1904-1971)
Bunsen|German chemist who with Kirchhoff pioneered spectrum analysis but is remembered mainly for his invention of the Bunsen burner (1811-1899)
Bunuel|Spanish film director (1900-1983)
Bunyan|English preacher and author of an allegorical novel, Pilgrim's Progress (1628-1688)
Burbage|English actor who was the first to play the leading role in several of Shakespeare's tragedies (1567-1619)
Burbank|United States horticulturist who developed many new varieties of fruits and vegetables and flowers (1849-1926)
Burger|United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
Burgess|English writer of satirical novels (1917-1993)
Burgoyne|British general in the American Revolution who captured Fort Ticonderoga but lost the battle of Saratoga in 1777 (1722-1792)
Burk|United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903)
Burke|British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797)
Burnett|United States writer (born in England) remembered for her novels for children (1849-1924)
Burnham|United States architect who designed the first important skyscraper with a skeleton (1846-1912)
Burns|celebrated Scottish poet (1759-1796)
Burns|United States comedian and film actor (1896-1996)
Burnside|United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881)
Burr|United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836)
Burroughs|United States novelist and author of the Tarzan stories (1875-1950)
Burroughs|United States inventor who patented the first practical adding machine (1855-1898)
Burroughs|United States writer noted for his works portraying the life of drug addicts (1914-1997)
Burt|English psychologist whose studies of twins were later said to have used fabricated data (1883-1971)
Burton|Welsh film actor who often co-starred with Elizabeth Taylor (1925-1984)
Burton|English explorer who with John Speke was the first European to explore Lake Tanganyika (1821-1890)
Bush|vice president under Reagan and 41st President of the United States (born in 1924)
Bush|United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974)
Bush|43rd President of the United States; son of George Herbert Walker Bush (born in 1946)
Obama|44th President of the United States; first African-American President
Bushnell|American inventor who in 1775 designed a man-propelled submarine that was ineffectual but subsequently earned him recognition as a submarine pioneer (1742-1824)
Butler|English poet (1612-1680)
Butler|English novelist who described a fictitious land he called Erewhon (1835-1902)
Butterfield|English architect who designed many churches (1814-1900)
Byrd|explorer and United States naval officer; led expeditions to explore Antarctica (1888-1957)
Byrd|English organist and composer of church music; master of 16th century polyphony; was granted a monopoly in music printing with Thomas Tallis (1543-1623)
Byron|English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824)
Cabell|United States writer of satirical novels (1879-1958)
Cabot|Italian explorer who led the English expedition in 1497 that discovered the mainland of North America and explored the coast from Nova Scotia to Newfoundland (ca. 1450-1498)
Cabot|son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557)
Caesar|conqueror of Gaul and master of Italy (100-44 BC)
Caesar|United States comedian who pioneered comedy television shows (born 1922)
Cage|United States composer of avant-garde music (1912-1992)
Cagliostro|Italian who was famous as a magician and alchemist (1743-1795)
Cagney|United States film actor known for his portrayals of tough characters (1899-1986)
Calder|United States sculptor who first created mobiles and stabiles (1898-1976)
Calderon|Spanish poet and dramatist considered one of the great Spanish writers (1600-1681)
Caldwell|United States author remembered for novels about poverty and degeneration (1903-1987)
Caligula|Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41)
Calixtus II|pope who in 1122 forced the Holy Roman Emperor Henry V to sign a concordat that recognized the right of the church to choose its own leadership (died in 1124)
Calixtus III|Italian pope whose nepotism put the Borgia family in power in Italy (1378-1458)
Callas|Greek coloratura soprano (born in the United States) known for her dramatic intensity in operatic roles (1923-1977)
Calvin|Swiss theologian (born in France) whose tenets (predestination and the irresistibility of grace and justification by faith) defined Presbyterianism (1509-1564)
Calvin|United States chemist noted for discovering the series of chemical reactions in photosynthesis (1911-)
Calvino|Italian writer of novels and short stories (born in Cuba) (1923-1987)
Campbell|United States mythologist (1904-1987)
Camus|French writer who portrayed the human condition as isolated in an absurd world (1913-1960)
Canetti|English writer born in Germany (1905-1994)
Canute|king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)
Capek|Czech writer who introduced the word `robot' into the English language (1890-1938)
Capone|United States gangster who terrorized Chicago during prohibition until arrested for tax evasion (1899-1947)
Capra|United States film maker (1897-1991)
Caravaggio|Italian painter noted for his realistic depiction of religious subjects and his novel use of light (1573-1610)
Carducci|Italian poet considered the national poet of modern Italy (1835-1907)
Carew|Englishman and Cavalier poet whose lyric poetry was favored by Charles I (1595-1639)
Carl XVI Gustav|king of Sweden since 1973 (born 1946)
Carlyle|Scottish historian who wrote about the French Revolution (1795-1881)
Carmichael|United States songwriter (1899-1981)
Carnegie|United States industrialist and philanthropist who endowed education and public libraries and research trusts (1835-1919)
Carnegie|United States educator famous for writing a book about how to win friends and influence people (1888-1955)
